galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
11010+4107,11,1,5.8,+,41,7,8,64,24,5,116,4,0.25,L,0.38,,6.06,,10.66,,-12.48,,,D,C,C,L,B,A,A,1,1,0,0,0,0,0,1,1,0,,null,,null,null,,null,1,0.6579,0,0.0627,0,0.5685,0,174.1876,63.9878,149.7277,31.8149,165.9748,40.8493,110354.0,+405057,165.2742,41.1189,110105.8,+410708,5454,5454
11011+5005,11,1,9.5,+,50,5,26,59,47,13,119,3,0.25,L,0.25,L,0.62,,1.92,,-13.35,,,,C,D,,,B,C,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,1.0000,0,0.4032,0,0.3229,0,157.8431,59.3950,144.4732,39.7137,166.0123,49.8209,110402.9,+494915,165.2896,50.0906,110109.5,+500526,5455,5455
11012+3552,11,1,12.3,+,35,52,26,66,32,15,115,3,0.43,L,0.25,L,0.50,,1.10,,-13.52,,,,C,C,G,,C,E,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.7200,0,0.5000,0,0.4545,0,185.9084,65.6390,152.4148,27.1199,165.9915,35.6042,110358.0,+353615,165.3013,35.8739,110112.3,+355226,5456,5456
11013-2258,11,1,18.7,-,22,58,25,33,43,10,114,2,0.25,L,0.25,L,2.63,,7.63,,-12.74,,,,D,D,,,A,A,2,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,1.0000,0,0.0951,0,0.3447,0,273.0777,33.3116,176.9276,-26.7995,165.9391,-23.2433,110345.4,-231436,165.3279,-22.9736,110118.7,-225825,5457,5457
11207+0607,11,20,46.0,+,6,7,34,60,61,14,113,2,0.38,L,0.40,L,0.69,,1.28,:,-13.41,:,,,C,C,,H,B,B,1,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9500,0,0.5797,0,0.5391,0,254.4114,60.1396,169.2814,1.7492,170.8371,5.8515,112320.9,+055105,170.1917,6.1261,112046.0,+060734,5458,5458
11208+5406,11,20,50.3,+,54,6,51,59,22,7,122,3,0.25,L,0.25,L,2.39,,5.45,,-12.83,,,,C,C,L,D,A,A,1,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,1.0000,0,0.1046,0,0.4385,0,148.1153,58.7850,145.0869,44.7227,170.9130,53.8396,112339.1,+535023,170.2096,54.1142,112050.3,+540651,5459,5459
11210-0823,11,21,0.0,-,8,23,1,48,40,11,114,2,0.26,L,0.25,L,1.95,,4.65,,-12.91,,,,D,D,,,A,A,2,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0400,0,0.1282,0,0.4194,0,269.1028,48.3548,175.0914,-11.5617,170.8838,-8.6583,112332.1,-083930,170.2500,-8.3836,112100.0,-082301,5460,5460
11210-0117,11,21,1.9,-,1,17,32,54,53,9,113,2,0.25,L,0.73,L,0.96,,1.64,,-13.29,,,,C,C,,G,B,D,3,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.3425,0,0.7604,0,0.5854,0,263.0287,54.3533,172.2561,-5.0482,170.8974,-1.5669,112335.4,-013401,170.2579,-1.2922,112101.9,-011732,5461,5461
11211+6941,11,21,7.9,+,69,41,7,46,47,11,137,2,0.60,L,0.25,L,0.82,,2.05,,-13.28,,,,C,C,L,,B,A,0,3,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,2.4000,0,0.3049,0,0.4000,0,133.7442,45.8424,129.4208,56.8353,171.0446,69.4106,112410.7,+692438,170.2829,69.6853,112107.9,+694107,5462,5462
11211+1805,11,21,8.3,+,18,5,32,68,34,9,113,2,0.32,L,0.50,L,1.65,,3.95,,-12.99,,,,C,D,G,H,A,A,0,1,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6400,0,0.3030,0,0.4177,0,233.0815,67.7550,164.5829,12.7738,170.9399,17.8176,112345.6,+174903,170.2846,18.0922,112108.3,+180532,5463,5463
11218+0336,11,21,49.4,+,3,36,14,58,35,13,113,2,0.29,L,0.58,L,0.90,,1.85,,-13.28,,,,D,C,,J,C,A,0,4,0,0,0,0,0,0,0,1,,null,,null,null,,null,1,0.5000,0,0.6444,0,0.4865,0,258.0089,58.3921,170.5128,-0.4678,171.0992,3.3291,112423.8,+031945,170.4558,3.6039,112149.4,+033614,5464,5464
11218+1137,11,21,50.1,+,11,37,0,64,40,7,113,2,0.27,L,0.40,L,2.92,,8.59,,-12.69,,,,D,D,H,I,A,A,0,1,0,0,0,0,0,0,0,0,,null,,null,1,6,13,1,0.6750,0,0.1370,0,0.3399,0,246.4027,64.1785,167.3580,6.9009,171.1084,11.3419,112426.0,+112031,170.4588,11.6167,112150.1,+113700,5465,5465
11218+3448,11,21,51.1,+,34,48,36,70,53,10,119,4,0.38,L,0.25,L,0.64,,1.13,:,-13.46,:,,,C,D,I,,D,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.5200,0,0.3906,0,0.5664,0,185.8977,69.9812,157.2093,28.0103,171.1344,34.5352,112432.2,+343207,170.4629,34.8100,112151.1,+344836,5466,5466
11218-2940,11,21,51.4,-,29,40,13,29,49,24,119,2,0.28,L,0.32,L,0.37,,1.93,L,-13.44,L,,,C,,,,I,K,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.8750,0,0.8649,0,0.1917,0,281.3104,29.2429,185.0254,-30.7590,171.0792,-29.9451,112419.0,-295642,170.4642,-29.6703,112151.4,-294013,5467,5467
11220+3902,11,22,1.0,+,39,2,15,68,30,7,119,3,0.25,L,0.26,L,2.00,,6.37,,-12.84,,,,D,C,,F,A,A,0,1,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9615,0,0.1300,0,0.3140,0,174.7137,68.4925,155.0345,31.7946,171.1806,38.7627,112443.3,+384546,170.5042,39.0375,112201.0,+390215,5468,5468
11223+1329,11,22,20.0,+,13,29,50,65,90,26,113,2,0.37,L,0.41,L,0.50,L,1.70,,-13.42,L,,,,E,,H,C,C,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9024,0,0.8200,0,0.2941,0,243.1655,65.4654,166.7190,8.6758,171.2344,13.2223,112456.3,+131320,170.5833,13.4972,112220.0,+132950,5469,5469
11223-1317,11,22,21.4,-,13,17,56,44,36,10,114,2,0.25,L,0.40,L,1.22,,2.58,,-13.14,,,,C,C,,H,B,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6250,0,0.3279,0,0.4729,0,272.9314,44.1976,177.4495,-15.9237,171.2193,-13.5738,112452.6,-133426,170.5892,-13.2989,112221.4,-131756,5470,5470
11224-7652,11,22,26.5,-,76,52,31,-15,26,13,3,3,0.33,L,0.25,L,0.69,,1.95,L,-13.33,L,,,C,,,,B,B,9,8,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.3200,0,0.3623,0,0.3538,0,298.0240,-15.1169,238.3276,-65.2652,171.0585,-77.1502,112414.0,-770901,170.6104,-76.8753,112226.5,-765231,5471,5471
11225+6343,11,22,35.2,+,63,43,13,51,24,12,125,4,0.25,L,0.25,L,1.19,,4.24,,-13.04,,,,C,C,M,C,B,A,2,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,1.0000,0,0.2101,0,0.2807,0,138.0416,51.0875,136.6442,52.5634,171.3748,63.4454,112530.0,+632643,170.6467,63.7203,112235.2,+634313,5472,5472
11226+5759,11,22,38.0,+,57,59,29,56,32,10,125,3,0.79,L,0.25,L,1.33,,2.96,,-13.09,,,,C,C,M,,B,B,0,4,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,3.1600,0,0.1880,0,0.4493,0,143.3448,55.8732,142.1843,48.0532,171.3681,57.7165,112528.4,+574259,170.6583,57.9914,112238.0,+575929,5473,5473
11227-2627,11,22,43.4,-,26,27,38,32,49,11,118,2,0.84,L,1.15,L,1.52,,5.08,,-12.95,,,,D,D,L,K,A,A,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,2,0.7304,0,0.7566,0,0.2992,0,280.0899,32.2826,183.5648,-27.8066,171.2996,-26.7356,112511.9,-264408,170.6808,-26.4606,112243.4,-262738,5474,5474
11227+5127,11,22,45.5,+,51,27,19,61,78,16,127,2,0.47,L,0.28,L,0.89,L,1.97,,-13.27,L,,,,F,L,I,C,C,2,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.6786,0,0.3146,0,0.4518,0,151.1653,60.9793,147.4195,42.6467,171.3844,51.1804,112532.2,+511049,170.6896,51.4553,112245.5,+512719,5475,5475
11228+3820,11,22,49.6,+,38,20,7,69,45,15,120,2,0.42,L,0.25,L,0.67,,1.01,L,-13.46,L,,,C,,,,A,C,0,3,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,1.6800,0,0.3731,0,0.6634,0,176.2713,68.9380,155.5784,31.2440,171.3814,38.0603,112531.5,+380337,170.7067,38.3353,112249.6,+382007,5476,5476
11229+7428,11,22,57.6,+,74,28,21,42,34,3,140,3,0.25,L,0.25,L,0.40,L,1.44,,-13.51,L,,,,C,G,K,J,D,2,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.6250,0,0.2778,0,130.5478,41.6455,122.7020,60.0955,171.5335,74.1975,112608.0,+741151,170.7400,74.4725,112257.6,+742821,5477,5477
11231+1456,11,23,9.8,+,14,56,53,66,42,8,113,2,0.40,L,0.58,L,6.42,,10.28,,-12.47,,,,D,D,G,D,A,A,0,2,0,0,0,0,0,1,0,0,,null,,null,null,,null,2,0.6897,0,0.0903,0,0.6245,0,240.6019,66.4936,166.3209,10.0869,171.4428,14.6730,112546.3,+144023,170.7908,14.9481,112309.8,+145653,5478,5478
11233-2836,11,23,21.1,-,28,36,59,30,64,12,118,2,0.26,L,0.99,L,0.69,,1.40,:,-13.40,:,,,F,C,,I,A,C,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.2626,0,1.4348,0,0.4929,0,281.2015,30.3422,184.8079,-29.6718,171.4550,-28.8915,112549.2,-285329,170.8379,-28.6164,112321.1,-283659,5479,5479
11234+0215,11,23,27.8,+,2,15,18,58,60,21,113,2,0.26,L,0.80,L,0.33,:,1.10,,-13.61,:,,,F,C,E,J,D,C,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.3250,0,2.4242,0,0.3000,0,260.1859,57.5823,171.4191,-1.5476,171.5081,1.9799,112601.9,+015848,170.8658,2.2550,112327.8,+021518,5480,5480
11235-0133,11,23,32.0,-,1,33,48,54,66,23,113,2,0.29,L,0.33,L,0.49,L,1.25,,-13.50,L,,,,C,,,D,C,2,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.8788,0,0.6735,0,0.3920,0,264.1789,54.4818,172.9403,-5.0511,171.5227,-1.8385,112605.5,-015018,170.8833,-1.5633,112332.0,-013348,5481,5481
11235+4714,11,23,32.1,+,47,14,56,64,49,11,119,3,0.25,L,0.25,L,1.09,,2.59,,-13.17,,,,C,C,N,K,B,B,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2294,0,0.4208,0,157.4132,64.0493,150.4553,39.1186,171.5701,46.9738,112616.8,+465826,170.8837,47.2489,112332.1,+471456,5482,5482
11235-0518,11,23,35.2,-,5,18,37,51,37,8,113,2,0.49,L,0.31,L,1.29,,2.06,,-13.17,,,,C,C,F,,A,B,2,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.5806,0,0.2403,0,0.6262,0,267.5347,51.3274,174.4454,-8.4872,171.5332,-5.5854,112608.0,-053508,170.8967,-5.3103,112335.2,-051837,5483,5483
11236+5503,11,23,40.7,+,55,3,35,58,40,5,124,3,0.25,L,0.25,L,1.77,,3.48,,-12.99,,,,C,C,,G,A,B,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.1412,0,0.5086,0,146.3626,58.3085,144.8239,45.7371,171.6204,54.7846,112628.9,+544705,170.9196,55.0597,112340.7,+550335,5484,5484
11237-5230,11,23,43.2,-,52,30,33,8,29,14,135,3,0.25,L,0.25,L,0.70,,2.83,:,-13.23,:,,,C,D,,,B,B,9,6,0,0,0,8,0,0,1,3,,null,,null,null,,null,1,1.0000,0,0.3571,0,0.2473,0,290.0894,7.9454,201.4385,-50.0093,171.5149,-52.7844,112603.6,-524704,170.9300,-52.5092,112343.2,-523033,5485,5485
11238+5925,11,23,52.9,+,59,25,53,55,26,6,125,3,0.25,L,0.68,,3.61,,4.79,,-12.75,,,C,C,C,E,A,A,A,0,2,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,0.3676,0,0.1884,0,0.7537,0,141.6665,54.7830,141.0843,49.3072,171.6817,59.1562,112643.6,+590923,170.9704,59.4314,112352.9,+592553,5486,5486
11238+1708,11,23,53.9,+,17,8,9,68,54,12,113,2,0.25,L,0.33,L,0.70,,2.40,,-13.28,,,,C,C,,N,C,B,1,3,0,0,0,0,0,0,2,0,4,null,,null,null,,null,1,0.7576,0,0.4714,0,0.2917,0,236.1442,67.8463,165.5933,12.1624,171.6281,16.8607,112630.7,+165138,170.9746,17.1358,112353.9,+170809,5487,5487
11244+5954,11,24,25.4,+,59,54,20,54,56,9,125,3,0.25,L,0.25,L,0.86,,1.99,,-13.28,,,,C,D,N,E,B,A,0,3,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,1.0000,0,0.2907,0,0.4322,0,141.1142,54.4263,140.7261,49.7260,171.8174,59.6303,112716.2,+593749,171.1058,59.9056,112425.4,+595420,5488,5488
11245+1718,11,24,35.0,+,17,18,12,68,20,7,113,2,0.34,L,0.37,L,2.12,,7.78,,-12.78,,,,D,C,G,C,A,A,1,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9189,0,0.1745,0,0.2725,0,235.9884,68.0730,165.6776,12.3816,171.7992,17.0280,112711.8,+170141,171.1458,17.3033,112435.0,+171812,5489,5489
11247+5709,11,24,42.8,+,57,9,9,57,24,6,126,3,1.01,,1.45,,14.04,,29.54,,-12.08,,B,C,C,C,A,A,A,A,0,1,8,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6966,0,0.1033,0,0.4753,0,143.8160,56.7176,143.2512,47.5357,171.8821,56.8772,112731.7,+565238,171.1783,57.1525,112442.8,+570909,5490,5490
11247+6651,11,24,44.8,+,66,51,52,48,32,7,134,3,0.25,:,0.30,,3.53,,7.95,,-12.67,,D,D,C,C,E,B,A,A,0,1,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,0.8333,0,0.0850,0,0.4440,0,135.2995,48.4789,133.3815,55.0593,171.9223,66.5891,112741.4,+663521,171.1867,66.8644,112444.8,+665152,5491,5491
11248+3620,11,24,53.3,+,36,20,7,70,57,16,116,2,0.25,L,0.25,L,0.67,,1.88,,-13.34,,,,D,D,,,C,C,1,2,0,0,0,0,0,1,0,0,,null,,null,null,,null,2,1.0000,0,0.3731,0,0.3564,0,181.0877,70.0913,157.0588,29.6505,171.8926,36.0600,112734.2,+360336,171.2221,36.3353,112453.3,+362007,5492,5492
11249-2859,11,24,55.7,-,28,59,2,30,53,12,118,2,0.25,L,0.29,:,0.66,,1.21,L,-13.44,L,,D,C,,,C,C,D,0,4,0,0,0,0,0,1,0,0,,null,,null,null,,null,1,0.8621,0,0.4394,0,0.5455,0,281.7308,30.1295,185.3543,-29.8432,171.8499,-29.2593,112724.0,-291533,171.2321,-28.9839,112455.7,-285902,5493,5493
11251+1729,11,25,7.3,+,17,29,52,68,32,8,113,2,0.31,L,0.40,L,3.45,,11.72,,-12.59,,,,C,E,F,E,B,A,1,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.7750,0,0.1159,0,0.2944,0,235.7178,68.2832,165.7178,12.6113,171.9337,17.2224,112744.1,+171321,171.2804,17.4978,112507.3,+172952,5494,5494
11251+7313,11,25,10.8,+,73,13,23,43,23,5,138,4,0.25,L,0.48,,3.15,,3.87,,-12.82,,,C,C,B,F,B,A,A,2,3,0,0,1,0,0,0,0,0,,null,,null,null,,null,1,0.5208,0,0.1524,0,0.8140,0,131.0929,42.8380,124.8302,59.4346,172.0680,72.9477,112816.3,+725652,171.2950,73.2231,112510.8,+731323,5495,5495
11254-4120,11,25,29.3,-,41,20,22,19,41,6,119,2,0.37,L,0.78,,7.93,,9.02,,-12.43,,,C,D,D,,A,A,A,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.4744,0,0.0984,0,0.8792,0,286.6021,18.5930,192.8176,-40.6039,171.9771,-41.6150,112754.5,-413654,171.3721,-41.3394,112529.3,-412022,5496,5496
11255+1711,11,25,31.6,+,17,11,46,68,47,13,113,2,0.25,L,0.45,L,0.73,:,1.90,,-13.32,:,,,D,C,,H,C,A,1,4,0,0,0,0,0,0,0,1,,null,,null,null,,null,1,0.5556,0,0.6164,0,0.3842,0,236.5491,68.2095,165.9329,12.3741,172.0346,16.9207,112808.3,+165514,171.3817,17.1961,112531.6,+171146,5497,5497
11256+0920,11,25,37.7,+,9,20,16,63,82,13,113,2,0.34,L,0.64,L,0.66,,1.13,L,-13.45,L,,,C,,,L,B,,0,6,0,0,2,0,0,0,0,0,,null,,null,null,,null,1,0.5312,0,0.9697,0,0.5841,0,251.6060,63.3025,169.1246,5.1756,172.0542,9.0623,112813.0,+090344,171.4071,9.3378,112537.7,+092016,5498,5498
11256+0925,11,25,38.9,+,9,25,25,63,43,11,113,2,0.35,L,0.39,L,1.01,,2.26,,-13.21,,,,C,C,,D,B,B,0,5,0,0,1,0,0,0,0,0,,null,,null,null,,null,1,0.8974,0,0.3861,0,0.4469,0,251.4791,63.3670,169.0952,5.2564,172.0593,9.1481,112814.2,+090853,171.4121,9.4236,112538.9,+092525,5499,5499
11256-1255,11,25,39.7,-,12,55,11,45,53,13,114,2,0.25,L,0.27,L,0.53,,2.01,,-13.37,,,,C,C,,,D,B,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.9259,0,0.5094,0,0.2637,0,273.6988,44.8992,178.0518,-15.2493,172.0468,-13.1952,112811.2,-131143,171.4154,-12.9197,112539.7,-125511,5500,5500
11257+5850,11,25,42.1,+,58,50,18,55,25,5,125,3,3.71,,21.51,,105.82,,111.16,,-11.32,,B,B,C,C,A,A,A,A,0,1,0,0,0,0,0,1,2,0,4,null,,null,null,,null,3,0.1725,0,0.2033,0,0.9520,0,141.9054,55.4055,141.9142,48.9734,172.1315,58.5629,112831.6,+583346,171.4254,58.8383,112542.1,+585018,5501,5501
11257-1236,11,25,43.3,-,12,36,47,45,60,14,114,2,0.29,L,0.45,L,0.68,,1.15,L,-13.44,L,,,D,,,I,B,D,0,3,0,0,0,0,1,0,0,0,,null,,null,null,,null,1,0.6444,0,0.6618,0,0.5913,0,273.5234,45.1801,177.9362,-14.9633,172.0620,-12.8886,112814.9,-125319,171.4304,-12.6131,112543.3,-123647,5502,5502
11257+0255,11,25,43.4,+,2,55,42,58,55,11,113,2,0.46,L,0.45,L,1.66,,2.88,,-13.04,,,,D,C,M,D,A,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0222,0,0.2711,0,0.5764,0,260.2683,58.4598,171.6734,-0.7066,172.0734,2.6528,112817.6,+023910,171.4308,2.9283,112543.4,+025542,5503,5503
11258+0940,11,25,49.1,+,9,40,57,64,51,10,113,2,0.89,L,0.52,L,1.12,,3.44,,-13.10,,,,C,C,K,F,B,B,0,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.7115,0,0.4643,0,0.3256,0,251.1360,63.5798,169.0311,5.5108,172.1019,9.4070,112824.5,+092425,171.4546,9.6825,112549.1,+094057,5504,5504
11258+5806,11,25,52.1,+,58,6,32,56,58,15,127,3,0.39,L,0.25,L,0.49,,1.13,L,-13.52,L,,,C,,L,F,C,C,0,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.5600,0,0.5102,0,0.4336,0,142.5982,56.0221,142.5991,48.4005,172.1710,57.8334,112841.0,+575000,171.4671,58.1089,112552.1,+580632,5505,5505
11259+0922,11,25,58.3,+,9,22,49,63,33,16,113,2,0.25,L,0.36,L,0.76,,2.07,,-13.29,,,,C,C,,,B,A,0,5,0,0,1,0,0,1,0,0,,null,,null,null,,null,1,0.6944,0,0.4737,0,0.3671,0,251.6737,63.3923,169.1859,5.2481,172.1400,9.1047,112833.6,+090617,171.4929,9.3803,112558.3,+092249,5506,5506
14538-1617,14,53,51.6,-,16,17,18,37,41,8,107,3,0.25,L,0.38,L,1.24,,3.39,,-13.08,,,,C,C,K,H,A,A,1,3,0,0,0,0,0,0,0,1,,null,,null,null,,null,1,0.6579,0,0.3065,0,0.3658,0,341.4373,36.8510,226.5376,0.3046,224.1624,-16.4892,145639.0,-162921,223.4650,-16.2883,145351.6,-161718,5507,5507
14539-1702,14,53,54.2,-,17,2,35,36,39,8,107,3,0.25,L,0.41,L,1.63,,4.29,,-12.97,,,,C,C,I,,A,A,4,4,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,0.6098,0,0.2515,0,0.3800,0,340.9099,36.2264,226.7654,-0.4149,224.1760,-17.2439,145642.2,-171438,223.4758,-17.0431,145354.2,-170235,5508,5508
14540-3136,14,54,3.5,-,31,36,5,24,42,9,108,2,0.25,L,0.52,L,0.84,,2.67,,-13.22,,,,C,C,,C,B,A,4,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.4808,0,0.6190,0,0.3146,0,331.9146,23.9041,231.0930,-14.3297,224.2745,-31.8020,145705.9,-314807,223.5146,-31.6014,145403.5,-313605,5509,5509
14542+4536,14,54,17.8,+,45,36,19,59,24,12,106,3,0.25,L,0.25,L,0.49,,1.47,,-13.46,,,,C,C,,,C,B,1,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.5102,0,0.3333,0,77.6549,59.2504,198.0333,57.9287,224.0188,45.4044,145604.5,+452416,223.5742,45.6053,145417.8,+453619,5510,5510
14544-4255,14,54,25.7,-,42,55,58,14,25,6,111,3,0.34,,1.32,,7.77,,14.00,,-12.37,,C,B,C,C,B,A,A,A,2,4,8,0,0,0,0,0,1,1,,null,,null,null,,null,1,0.2576,0,0.1699,0,0.5550,0,326.1178,13.9819,234.8683,-25.0920,224.4285,-43.1330,145742.8,-430759,223.6071,-42.9328,145425.7,-425558,5511,5511
14545+3025,14,54,30.4,+,30,25,57,62,39,12,106,4,0.25,L,0.25,L,0.99,,1.31,,-13.31,,,,D,C,,K,B,C,0,2,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2525,0,0.7557,0,46.8796,62.4559,209.5832,44.5359,224.1545,30.2319,145637.1,+301355,223.6267,30.4325,145430.4,+302557,5512,5512
14545-1900,14,54,31.5,-,19,0,51,35,32,7,99,3,0.28,:,0.69,,3.97,,9.54,,-12.60,,D,E,C,C,D,B,A,A,1,1,0,1,0,0,0,1,0,0,,null,,null,null,,null,2,0.4058,0,0.1738,0,0.4161,0,339.6916,34.5175,227.4755,-2.2597,224.3390,-19.2145,145721.4,-191252,223.6313,-19.0142,145431.5,-190051,5513,5513
14546-8235,14,54,39.0,-,82,35,26,-21,49,8,43,3,0.25,L,0.25,L,0.35,,1.60,,-13.50,,,,C,C,,N,B,B,9,6,0,1,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.7143,0,0.2188,0,307.1290,-21.0170,259.6138,-60.9748,225.8311,-82.7884,150319.5,-824718,223.6625,-82.5906,145439.0,-823526,5514,5514
14546+4935,14,54,39.4,+,49,35,57,57,13,3,113,5,0.25,L,0.29,,2.65,,6.99,,-12.76,,,F,C,C,C,B,A,A,2,3,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.8621,0,0.1094,0,0.3791,0,84.2920,57.3023,193.6284,61.2450,224.0790,49.3985,145619.0,+492355,223.6642,49.5992,145439.4,+493557,5515,5515
14547+7740,14,54,46.3,+,77,40,41,38,27,9,8,4,0.25,L,0.25,L,0.69,,0.96,,-13.46,,,,B,C,,C,A,C,0,4,0,0,0,0,1,1,1,0,,null,,null,null,,null,1,1.0000,0,0.3623,0,0.7188,0,114.9141,37.6793,122.0425,72.7432,223.4627,77.4764,145351.0,+772835,223.6929,77.6781,145446.3,+774041,5516,5516
14549+6836,14,54,56.4,+,68,36,35,45,46,16,172,2,0.36,L,0.25,L,0.48,,1.12,:,-13.53,:,,,E,C,,,D,C,0,4,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.4400,0,0.5208,0,0.4286,0,107.4281,44.7998,152.8817,72.6644,223.8863,68.4089,145532.7,+682432,223.7350,68.6097,145456.4,+683635,5517,5517
14549-1332,14,54,57.7,-,13,32,8,39,49,12,106,3,0.26,L,0.41,L,0.80,,1.64,,-13.33,,,,C,B,M,E,B,B,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.6341,0,0.5125,0,0.4878,0,343.7533,38.9269,225.9987,3.0173,224.4281,-13.7355,145742.8,-134408,223.7404,-13.5356,145457.7,-133208,5518,5518
14550-4730,14,55,1.1,-,47,30,4,10,22,12,110,3,0.25,L,0.25,L,1.77,,8.13,,-12.80,,,,C,D,,,E,B,9,5,0,0,1,8,0,0,3,0,4,1,X1455-475,44,null,,null,2,1.0000,0,0.1412,0,0.2177,0,324.0007,9.9086,236.6427,-29.3808,224.6078,-47.7008,145825.9,-474203,223.7546,-47.5011,145501.1,-473004,5519,5519
14550-1904,14,55,2.0,-,19,4,52,34,60,14,107,3,0.25,L,0.45,L,0.58,,1.46,,-13.43,,,,C,B,,B,D,B,1,3,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,0.5556,0,0.7759,0,0.3973,0,339.7665,34.3946,227.6099,-2.2892,224.4665,-19.2810,145752.0,-191652,223.7583,-19.0811,145502.0,-190452,5520,5520
14550+1952,14,55,3.1,+,19,52,29,60,34,12,106,3,0.25,L,0.25,L,0.75,,2.30,,-13.27,,,,C,C,,I,B,B,0,4,0,0,0,0,0,0,1,0,,null,,null,null,,null,1,1.0000,0,0.3333,0,0.3261,0,25.2227,60.2562,214.8976,34.7955,224.3340,19.6747,145720.2,+194029,223.7629,19.8747,145503.1,+195229,5521,5521
14550-3620,14,55,3.9,-,36,20,11,20,85,15,108,2,0.45,L,0.25,L,0.48,,1.29,L,-13.50,L,,,D,,,,D,C,5,5,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.8000,0,0.5208,0,0.3721,0,329.5679,19.6946,232.7852,-18.7833,224.5502,-36.5362,145812.0,-363210,223.7663,-36.3364,145503.9,-362011,5522,5522
14551-3721,14,55,9.6,-,37,21,20,19,81,20,112,2,0.26,L,0.35,L,0.51,:,1.27,:,-13.48,:,,,E,C,K,,B,B,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.7429,0,0.6863,0,0.4016,0,329.0546,18.7978,233.1329,-19.7484,224.5794,-37.5552,145819.1,-373319,223.7900,-37.3556,145509.6,-372120,5523,5523
