galname,rah,ram,ras,decsign,decd,decm,decs,glat_orig,semimajor,semiminor,posang,nhcon,fnu_12,fqual_12,fnu_25,fqual_25,fnu_60,fqual_60,fnu_100,fqual_100,fir,fqfir,relunc_12,relunc_25,relunc_60,relunc_100,cc_12,cc_25,cc_60,cc_100,cirr1,cirr2,confuse,pnearh,pnearw,hsdflag,ses1_12,ses1_25,ses1_60,ses1_100,ses2,nsss,sssname,dissss,nongal,idngal,dsngal,nrecs,rat_12_25,err_12_25,rat_25_60,err_25_60,rat_60_100,err_60_100,glon,glat,elon,elat,ra,dec,cra,cdec,ra1950,dec1950,cra1950,cdec1950,ROW_IDX,ROW_NUM
23085-3243,23,8,33.6,-,32,43,38,-68,48,10,67,2,0.25,L,0.25,L,0.74,,2.04,,-13.30,,,,C,D,,,B,B,0,2,0,0,0,0,0,0,1,0,,null,,null,null,,null,2,1.0000,0,0.3378,0,0.3627,0,13.0714,-67.6830,335.4465,-24.9318,347.8193,-32.4554,231116.6,-322719,347.1400,-32.7272,230833.6,-324338,40,40
23086+0443,23,8,41.8,+,4,43,59,-50,35,6,66,2,64.74,,18.68,,3.38,,1.75,,-12.88,,B,B,C,C,A,A,A,C,0,3,0,0,0,0,0,0,1,1,,null,,null,5,1,5,1,3.4657,0,5.5266,0,1.9314,0,82.1616,-49.7668,350.7661,9.4227,347.8097,5.0048,231114.3,+050017,347.1742,4.7331,230841.8,+044359,41,41
23093-8154,23,9,18.5,-,81,54,4,-35,29,8,30,4,0.69,L,0.61,L,0.35,,1.43,,-13.53,,,,C,D,,,D,B,6,5,0,1,0,0,0,0,1,0,,null,,null,null,,null,1,1.1311,0,1.7429,0,0.2448,0,307.1401,-34.6833,288.7338,-63.6418,348.3727,-81.6289,231329.4,-813744,347.3271,-81.9011,230918.5,-815404,42,42
23099+1327,23,9,56.2,+,13,27,19,-43,61,11,65,2,0.25,L,0.25,L,0.99,,2.29,,-13.21,,,,C,C,,K,B,B,1,5,0,1,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2525,0,0.4323,0,89.3906,-42.6058,354.6372,17.2974,348.1106,13.7274,231226.6,+134339,347.4842,13.4553,230956.2,+132719,43,43
23101-2752,23,10,7.3,-,27,52,9,-68,66,16,67,2,0.26,L,0.72,L,0.62,:,1.62,:,-13.39,:,,,D,D,K,,B,C,1,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.3611,0,1.1613,0,0.3827,0,25.9882,-68.1325,337.9983,-20.6675,348.2019,-27.5969,231248.5,-273549,347.5304,-27.8692,231007.3,-275209,44,44
23103+0532,23,10,18.6,+,5,32,2,-49,39,10,66,2,0.25,L,0.32,L,0.89,:,2.61,,-13.21,:,,,D,C,,F,B,A,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,0.7812,0,0.3596,0,0.3410,0,83.3786,-49.3432,351.4607,10.0006,348.2124,5.8061,231251.0,+054822,347.5775,5.5339,231018.6,+053202,45,45
23103+1224,23,10,19.3,+,12,24,39,-44,73,15,66,2,0.25,L,0.25,L,0.94,,3.17,,-13.15,,,,C,C,,,A,A,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2660,0,0.2965,0,88.7744,-43.5530,354.2841,16.3048,348.2081,12.6830,231249.9,+124059,347.5804,12.4108,231019.3,+122439,46,46
23103+2556,23,10,21.1,+,25,56,26,-32,61,12,59,2,0.25,L,0.25,L,0.92,,2.18,,-13.24,,,,C,C,,,B,B,1,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.2717,0,0.4220,0,96.8562,-31.6167,0.4808,28.5703,348.2000,26.2127,231248.0,+261246,347.5879,25.9406,231021.1,+255626,47,47
23105-2837,23,10,32.5,-,28,37,47,-68,48,10,67,2,0.25,L,0.35,L,1.06,,4.62,,-13.03,,,,D,C,L,E,A,A,3,3,0,0,0,0,1,0,1,0,,null,,null,null,,null,2,0.7143,0,0.3302,0,0.2294,0,23.9598,-68.2729,337.7493,-21.3975,348.3076,-28.3574,231313.8,-282127,347.6354,-28.6297,231032.5,-283747,48,48
23173+2600,23,17,22.7,+,26,0,18,-32,28,6,60,2,217.68,,94.02,,13.15,,3.51,,-12.33,,B,B,C,C,A,A,A,A,2,3,1,0,1,0,1,0,0,2,,null,,null,4,4,4,1,2.3153,0,7.1498,0,3.7464,0,98.5752,-32.2244,2.1209,27.9294,349.9607,26.2788,231950.6,+261644,349.3446,26.0050,231722.7,+260018,49,49
23174+1236,23,17,29.8,+,12,36,49,-44,78,23,66,2,0.82,L,0.33,L,0.42,L,1.44,,-13.50,L,,,,D,D,C,H,B,3,6,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,2.4848,0,0.7857,0,0.2917,0,91.0236,-44.2467,356.0352,15.7800,350.0036,12.8875,232000.9,+125315,349.3742,12.6136,231729.8,+123649,50,50
23175+1540,23,17,31.6,+,15,40,43,-42,55,14,66,2,0.25,L,0.25,L,0.79,,2.96,:,-13.20,:,,,D,D,F,,B,C,0,4,0,0,0,0,0,0,0,0,,null,,null,null,,null,1,1.0000,0,0.3165,0,0.2669,0,93.0046,-41.5468,357.3553,18.5735,350.0082,15.9525,232002.0,+155709,349.3817,15.6786,231731.6,+154043,51,51
